A,B,C,D
0.851366059,0.871533378,0.407358324,0.809537073
0.375784783,0.860388259,,0.020780827
0.632920748,0.480744678,0.201595434,0.210294346
0.715868647,0.413234689,0.753673046,0.460016662
0.926932187,0.896683574,0.052902303,0.973212345
,0.201136967,0.491635422,0.67952958
0.673033763,0.464415537,0.546631924,0.532306403
0.099905011,0.7066389,0.391722103,0.588130285
0.60945434,,0.580086123,0.889879518
0.085993256,0.886841168,0.324482344,0.981674841
0.177485924,0.108334491,0.602107567,0.062110159
0.785782156,0.69642859,0.003556125,
,0.168568268,0.48841377,0.768338106
0.528389162,0.44773158,,0.292760288
